score,rank
641,39
640,48
639,58
638,64
637,69
636,77
635,84
634,94
633,105
632,123
631,142
630,162
629,177
628,198
627,228
626,254
625,283
624,312
623,343
622,378
621,407
620,447
619,492
618,551
617,623
616,676
615,738
614,794
613,854
612,918
611,989
610,1084
609,1167
608,1269
607,1354
606,1454
605,1557
604,1673
603,1790
602,1912
601,2033
600,2171
599,2305
598,2442
597,2589
596,2732
595,2902
594,3072
593,3227
592,3405
591,3608
590,3818
589,4023
588,4214
587,4467
586,4686
585,4924
584,5164
583,5433
582,5707
581,5979
580,6259
579,6580
578,6870
577,7166
576,7489
575,7833
574,8196
573,8579
572,8956
571,9341
570,9726
569,10097
568,10505
567,10925
566,11363
565,11782
564,12241
563,12689
562,13147
561,13630
560,14107
559,14640
558,15159
557,15727
556,16282
555,16837
554,17432
553,18035
552,18635
551,19276
550,19907
549,20531
548,21188
547,21838
546,22530
545,23216
544,23861
543,14588
542,25314
541,26047
540,26822
539,27563
538,28322
537,29095
536,29882
535,30668
534,31505
533,32293
532,33090
531,33928
530,34766
529,35616
528,36485
527,37423
526,38327
525,39179
524,40025
523,40925
522,41844
521,42718
520,43621
519,44557
518,45484
517,46391
516,47315
515,48206
514,49072
513,49972
512,50862
511,51739
510,52680
509,53572
508,54461
507,55349
506,56237
505,57126
504,58008
503,58877
502,59752
501,60619
500,61478
