score,rank
706,61
705,75
704,90
703,108
702,131
701,156
700,182
699,209
698,239
697,275
696,318
695,358
694,404
693,452
692,519
691,581
690,642
689,704
688,795
687,865
686,958
685,1053
684,1164
683,1298
682,1406
681,1532
680,1655
679,1781
678,1931
677,2064
676,2211
675,2349
674,2529
673,2697
672,2892
671,3077
670,3286
669,3485
668,3687
667,3885
666,4092
665,4345
664,4571
663,4825
662,5075
661,5316
660,5561
659,5811
658,6080
657,6379
656,6671
655,6971
654,7299
653,7605
652,7946
651,8289
650,8613
649,8936
648,9304
647,9636
646,9991
645,10335
644,10697
643,11060
642,11436
641,11832
640,12220
639,12627
638,13042
637,13470
636,13894
635,14296
634,14709
633,15217
632,15684
631,16145
630,16587
629,17042
628,17553
627,18026
626,18510
625,19023
624,19517
623,20098
622,20635
621,21164
620,21694
619,22229
618,22767
617,23300
616,23896
615,24431
614,25050
613,25626
612,26189
611,26802
610,27403
609,28019
608,28602
607,29239
606,29842
605,30507
604,31123
603,31749
602,32429
601,33058
600,33701
599,34375
598,35015
597,35689
596,36376
595,37076
594,37735
593,38446
592,39175
591,39887
590,40632
589,41369
588,42142
587,42902
586,43698
585,44454
584,45239
583,45998
582,46788
581,47514
580,48280
579,49080
578,49876
577,50691
576,51508
575,52355
574,53194
573,54027
572,54817
571,55674
570,56516
569,57431
568,58309
567,59189
566,60085
565,60974
564,61871
563,62776
562,63689
561,64612
560,65480
559,66412
558,67319
557,68262
556,69151
555,70084
554,71042
553,72008
552,72924
551,73847
550,74796
549,75724
548,76753
547,77749
546,78744
545,79780
544,80712
543,81719
542,82721
541,83706
540,84708
539,85690
538,86749
537,87745
536,88731
535,89722
534,90765
533,91770
532,92824
531,93838
530,94921
529,95946
528,96956
527,97986
526,98996
525,100038
524,101005
523,102063
522,103123
521,104149
520,105210
519,106220
518,107278
517,108279
516,109351
515,110409
514,111456
513,112546
512,113578
511,114645
510,115710
509,116761
508,117818
507,118881
506,119922
505,120979
504,122051
503,123040
502,124109
501,125129
500,126148
