score,rank
699,56
698,61
697,73
696,88
695,96
694,104
693,122
692,150
691,163
690,177
689,204
688,226
687,253
686,291
685,323
684,350
683,391
682,436
681,469
680,511
679,578
678,629
677,689
676,742
675,803
674,863
673,920
672,993
671,1078
670,1147
669,1223
668,1303
667,1379
666,1475
665,1550
664,1650
663,1754
662,1869
661,1982
660,2117
659,2231
658,2350
657,2455
656,2600
655,2730
654,2878
653,3034
652,3189
651,3335
650,3497
649,3660
648,3852
647,4046
646,4226
645,4411
644,4628
643,4814
642,5036
641,5236
640,5455
639,5700
638,5952
637,6204
636,6437
635,6672
634,6936
633,7226
632,7548
631,7843
630,8145
629,8470
628,8772
627,9103
626,9414
625,9761
624,10101
623,10430
622,10771
621,11140
620,11523
619,11924
618,12291
617,12680
616,13057
615,13470
614,13890
613,14297
612,14706
611,15151
610,115628
609,16098
608,16522
607,16991
606,17463
605,17983
604,18502
603,18995
602,19557
601,20111
600,20631
599,21152
598,21695
597,22248
596,22819
595,23348
594,23903
593,24441
592,25022
591,25623
590,26156
589,26723
588,27357
587,27956
586,28546
585,29133
584,29797
583,30469
582,31147
581,31858
580,32505
579,33169
578,33876
577,34558
576,35240
575,35954
574,36663
573,37357
572,38093
571,38829
570,39561
569,40305
568,41025
567,41781
566,42545
565,43390
564,433135
563,44964
562,45701
561,46500
560,47298
559,48146
558,48969
557,49790
556,50606
555,51411
554,52265
553,53130
552,53981
551,54834
550,55684
549,56555
548,57479
547,58306
546,59174
545,60098
544,60972
543,61894
542,62819
541,63745
540,64628
539,65609
538,66490
537,67404
536,68327
535,69190
534,70153
533,71122
532,72135
531,73161
530,74118
529,75051
528,76005
527,76906
526,77888
525,78901
524,79897
523,80942
522,81995
521,82994
520,83978
519,84992
518,85974
517,87003
516,87960
515,89002
514,90016
513,91059
512,92079
511,93107
510,94154
509,95221
508,96232
507,972520
506,98336
505,99400
504,100462
503,101496
502,102564
501,103652
500,104717
