score,rank
647,37
646,43
645,49
644,54
643,61
642,66
641,72
640,82
639,97
638,107
637,121
636,134
635,142
634,150
633,170
632,187
631,205
630,227
629,244
628,264
627,289
626,312
625,327
624,359
623,393
622,416
621,453
620,485
619,524
618,564
617,605
616,664
615,713
614,760
613,816
612,873
611,938
610,985
609,1056
608,1120
607,1190
606,1255
605,1341
604,1416
603,1502
602,1578
601,1690
600,1775
599,1878
598,1996
597,2106
596,2212
595,2319
594,2428
593,2539
592,2662
591,2803
590,2956
589,3080
588,3234
587,3390
586,3540
585,3730
584,3898
583,4076
582,4264
581,4447
580,4637
579,4823
578,5007
577,5190
576,5387
575,5629
574,5842
573,6068
572,6291
571,6572
570,6827
569,7081
568,7311
567,7578
566,7843
565,8150
564,8430
563,8716
562,9061
561,9358
560,9672
559,10033
558,10371
557,10708
556,11075
555,11442
554,11845
553,12183
552,12582
551,12992
550,13395
549,13800
548,14213
547,14635
546,15113
545,15565
544,16044
543,16505
542,16982
541,17506
540,17987
539,18439
538,18985
537,19523
536,20035
535,20606
534,21152
533,21735
532,22292
531,22846
530,23440
529,24071
528,24629
527,25257
526,25927
525,26550
524,27198
523,27833
522,28464
521,29170
520,29883
519,30579
518,31270
517,31951
516,32677
515,33387
514,34130
513,34837
512,35591
511,36379
510,37166
509,37938
508,38752
507,39560
506,40373
505,41194
504,41948
503,42784
502,43591
501,44394
500,45221
