score,rank
689,61
688,73
687,84
686,94
685,111
684,130
683,156
682,190
681,228
680,265
679,299
678,342
677,386
676,439
675,489
674,546
673,594
672,656
671,739
670,821
669,905
668,997
667,1085
666,1180
665,1299
664,1438
663,1573
662,1695
661,1849
660,1986
659,2131
658,2304
657,2475
656,2639
655,2799
654,2988
653,3177
652,3400
651,3634
650,3864
649,4146
648,4390
647,4646
646,4901
645,5170
644,5431
643,5716
642,6042
641,6336
640,6651
639,6975
638,7317
637,7684
636,8056
635,8435
634,8834
633,9225
632,9663
631,10085
630,10540
629,10944
628,11354
627,11816
626,12271
625,12723
624,13223
623,13700
622,14207
621,14726
620,15251
619,15806
618,16419
617,16985
616,17512
615,18129
614,18704
613,19325
612,19948
611,20537
610,21116
609,21774
608,22408
607,23066
606,23755
605,24422
604,25081
603,25815
602,26534
601,27248
600,27928
599,28602
598,29320
597,29998
596,30715
595,31445
594,32211
593,32971
592,33780
591,34566
590,35281
589,36082
588,36851
587,37661
586,38476
585,39261
584,40095
583,40893
582,41683
581,42496
580,43372
579,44220
578,45081
577,45914
576,46754
575,47624
574,48479
573,49353
572,50273
571,51152
570,52045
569,52972
568,53861
567,54808
566,55739
565,56705
564,57611
563,58602
562,59553
561,60468
560,61360
559,62293
558,63213
557,64159
556,65139
555,66189
554,67177
553,68166
552,69150
551,70134
550,71103
549,72073
548,73104
547,74130
546,75149
545,76180
544,77174
543,78158
542,79199
541,80148
540,81171
539,82208
538,83261
537,84319
536,85339
535,86405
534,87435
533,88488
532,89576
531,90624
530,91686
529,92709
528,93813
527,94868
526,95950
525,96999
524,98047
523,99113
522,100164
521,101272
520,102385
519,103442
518,104483
517,105624
516,106725
515,107749
514,108854
513,109916
512,111013
511,112117
510,113187
509,114254
508,115360
507,116384
506,117493
505,118593
504,119717
503,120838
502,121940
501,123000
500,124028
