score,rank
645,38
644,40
643,43
642,46
641,54
640,60
639,67
638,72
637,79
636,82
635,96
634,105
633,120
632,128
631,140
630,150
629,159
628,169
627,188
626,208
625,231
624,257
623,275
622,302
621,316
620,341
619,381
618,410
617,442
616,475
615,510
614,553
613,593
612,623
611,656
610,690
609,750
608,805
607,861
606,913
605,972
604,1022
603,1077
602,1142
601,1218
600,1294
599,1369
598,1438
597,1516
596,1596
595,1668
594,1754
593,1838
592,1940
591,2037
590,2132
589,2212
588,2306
587,2439
586,2541
585,2650
584,2769
583,2889
582,3025
581,3160
580,3300
579,3431
578,3555
577,3709
576,3844
575,4002
574,4170
573,4309
572,4477
571,4637
570,4786
569,4960
568,5161
567,5327
566,5512
565,5700
564,5902
563,6099
562,6310
561,6512
560,6747
559,7016
558,7230
557,7448
556,7700
555,7965
554,8243
553,8530
552,8831
551,9101
550,9370
549,9660
548,9954
547,10229
546,10548
545,10860
544,11166
543,11464
542,11784
541,12110
540,12464
539,12821
538,13204
537,13592
536,13972
535,14377
534,14763
533,15161
532,15638
531,16062
530,16432
529,16873
528,17274
527,17704
526,18144
525,18612
524,19092
523,19603
522,20076
521,20610
520,21132
519,21625
518,22140
517,22663
516,23197
515,23787
514,24356
513,24952
512,25522
511,26170
510,26733
509,27318
508,27900
507,28479
506,29138
505,29801
504,30486
503,31140
502,31795
501,32458
500,33153
