score,rank
655,39
654,42
653,50
652,55
651,61
650,69
649,73
648,82
647,91
646,106
645,123
644,132
643,149
642,159
641,177
640,191
639,210
638,227
637,245
636,262
635,281
634,307
633,328
632,346
631,376
630,403
629,435
628,468
627,490
626,534
625,569
624,602
623,642
622,685
621,729
620,766
619,823
618,873
617,920
616,986
615,1041
614,1110
613,1178
612,1248
611,1325
610,1387
609,1457
608,1528
607,1615
606,1695
605,1774
604,1857
603,1942
602,2036
601,2131
600,2228
599,2333
598,2437
597,2572
596,2702
595,2820
594,2958
593,3091
592,3234
591,3381
590,3515
589,3657
588,3795
587,3952
586,4102
585,4253
584,4430
583,4624
582,4800
581,5010
580,5193
579,5386
578,5593
577,5799
576,5983
575,6195
574,6405
573,6643
572,6880
571,7126
570,7360
569,7595
568,7827
567,8085
566,8338
565,8605
564,8894
563,9195
562,9469
561,9777
560,10089
559,10409
558,10728
557,11056
556,11399
555,11762
554,12080
553,12444
552,12811
551,13199
550,13607
549,14013
548,14405
547,14786
546,15219
545,15679
544,16131
543,16540
542,17054
541,17534
540,17984
539,18456
538,18929
537,19375
536,19884
535,20395
534,20940
533,21480
532,22032
531,22582
530,23128
529,23701
528,24252
527,24854
526,25479
525,26056
524,26680
523,27295
522,27899
521,28600
520,29295
519,29944
518,30646
517,31358
516,32041
515,32748
514,33450
513,34151
512,34844
511,35601
510,36338
509,37057
508,37831
507,38587
506,39354
505,40129
504,40890
503,41730
502,42471
501,43267
500,44112
